,sna,tot,sbi,sarea,mday,ar,bemp,act
558,YouBike2.0_中吉公園,15,2,中山區,2023-06-08 23:17:58,松江路170巷20號對側,13,1
560,YouBike2.0_建國北路一段17巷,45,3,中山區,2023-06-08 22:59:16,建國北路一段17巷/八德路二段137巷口,42,1
562,YouBike2.0_民權龍江路口,32,2,中山區,2023-06-08 23:36:16,民權東路三段與龍江路口東南側,30,1
563,YouBike2.0_捷運中山國小站(2號出口),59,0,中山區,2023-06-08 23:45:04,捷運中山國小站(2號出口)後方,59,1
564,YouBike2.0_捷運行天宮站(3號出口),42,1,中山區,2023-06-08 23:49:13,松江路261號前,41,1
566,YouBike2.0_捷運中山國小站(4號出口),20,2,中山區,2023-06-08 23:40:21,民權東路一段/民權東路一段71巷口,18,1
570,YouBike2.0_臺北市立美術館,24,0,中山區,2023-06-08 23:06:04,花博公園5號出入口旁,24,1
571,YouBike2.0_中山民族路口,16,3,中山區,2023-06-08 23:40:21,中山北路三段54號前,13,1
573,YouBike2.0_南京林森路口(東南側),10,1,中山區,2023-06-08 23:49:13,南京東路一段86號前,9,1
579,YouBike2.0_民權建國路口,34,1,中山區,2023-06-08 23:29:16,民權東路三段/建國北路三段口(東北側),33,1
583,YouBike2.0_民族松江路口,17,2,中山區,2023-06-08 23:04:18,民族東路與松江路口西北側,15,1
585,YouBike2.0_中山公民會館,20,4,中山區,2023-06-08 23:33:15,中山北路二段128巷口,16,1
588,YouBike2.0_撫順公園,20,3,中山區,2023-06-08 23:16:16,中山北路三段2號對側,17,1
590,YouBike2.0_捷運行天宮站(1號出口),46,1,中山區,2023-06-08 23:48:03,松江路230號前,45,1
591,YouBike2.0_林森長春路口,28,1,中山區,2023-06-08 23:49:03,長春路29號前,27,1
593,YouBike2.0_松江路77巷口,10,2,中山區,2023-06-08 23:43:14,松江路77巷口,8,1
596,YouBike2.0_民權吉林路口,15,3,中山區,2023-06-08 23:23:16,民權東路二段51號前,12,1
597,YouBike2.0_中山農安街口,17,2,中山區,2023-06-08 23:48:13,中山北路三段25號前,15,1
598,YouBike2.0_捷運行政大樓,14,2,中山區,2023-06-08 23:25:17,中山北路二段48巷7號前,12,1
599,YouBike2.0_中吉公園(松江路188巷),22,5,中山區,2023-06-08 23:28:15,松江路188巷11號對側,17,1
602,YouBike2.0_國立臺北大學(臺北校區),38,2,中山區,2023-06-08 23:32:17,民生東路三段67號前,36,1
604,YouBike2.0_中山北路二段59巷口,12,3,中山區,2023-06-08 23:44:13,中山北路二段59之3號前,9,1
607,YouBike2.0_濱江街199巷口,15,2,中山區,2023-06-08 22:52:04,濱江街199巷(八號疏散門前),13,1
608,YouBike2.0_大佳社區公園,15,4,中山區,2023-06-08 21:38:17,濱江街154巷對側,11,1
610,YouBike2.0_興安合江路口,19,5,中山區,2023-06-08 23:43:14,興安街60號對側,14,1
613,YouBike2.0_植福樂群路口,10,1,中山區,2023-06-08 22:16:04,植福路/樂群三路(西北側),9,1
615,YouBike2.0_南京伊通街口,11,1,中山區,2023-06-08 23:50:18,南京東路二段178-1號,10,1
616,YouBike2.0_南京龍江路口,15,0,中山區,2023-06-08 23:44:03,南京東路三段121號前,15,1
617,YouBike2.0_撫順街41巷(崇德宮前),19,2,中山區,2023-06-08 23:45:14,撫順街41巷1-7號對側,17,1
618,YouBike2.0_臺北市立圖書館大直分館,20,0,中山區,2023-06-08 22:39:04,大直街28號對側,20,1
620,YouBike2.0_捷運松江南京站(4號出口),32,0,中山區,2023-06-08 23:45:04,松江路95-1至109號前方,32,1
621,YouBike2.0_中429公園,15,2,中山區,2023-06-08 22:08:18,敬業三路177巷南側,13,1
623,YouBike2.0_松江民生路口,17,0,中山區,2023-06-08 23:43:04,松江路208號前,17,1
624,YouBike2.0_松江路132巷口,14,1,中山區,2023-06-08 23:48:13,吉林路100號對側,13,1
625,YouBike2.0_長春吉林路口,10,2,中山區,2023-06-08 23:46:15,長春路120號前,8,1
626,YouBike2.0_長春一江街口,11,2,中山區,2023-06-08 23:37:03,長春路135號前,9,1
627,YouBike2.0_捷運松江南京站(8號出口),20,1,中山區,2023-06-08 23:46:04,南京東路二段101號前,19,1
628,YouBike2.0_南京一江街口,10,0,中山區,2023-06-08 23:39:04,南京東路二段85號前,10,1
629,YouBike2.0_松江長春路口,16,1,中山區,2023-06-08 23:25:04,松江路158號前,15,1
631,YouBike2.0_民族玉門街口,20,3,中山區,2023-06-08 23:47:13,民族西路口與玉門街口東北側,17,1
632,YouBike2.0_新生農安街口,15,0,中山區,2023-06-08 23:48:03,新生北路三段與農安街口(高架橋下),15,1
634,YouBike2.0_捷運大直站(3號出口)_1,18,1,中山區,2023-06-08 22:44:18,北安路458巷41弄52之1號前,17,1
635,YouBike2.0_樂群二明水路口_1,20,5,中山區,2023-06-08 23:23:16,樂群二路 / 明水路口(東側),15,1
637,YouBike2.0_長春龍江路口,24,4,中山區,2023-06-08 23:46:15,長春路與龍江路口西北側,20,1
638,YouBike2.0_民權新生路口,26,1,中山區,2023-06-08 23:35:04,民權東路一段/新生北路三段(北側)(新生高架橋下),25,1
639,YouBike2.0_建國長春路口(北側),20,3,中山區,2023-06-08 23:39:15,建國北路/長春路口(北側),17,1
641,YouBike2.0_臺北市立美術館_1,18,2,中山區,2023-06-08 23:17:58,中山北路三段(花博流行館前),16,1
644,YouBike2.0_林森公園,25,1,中山區,2023-06-08 23:47:13,林森北路/南京東路一段,24,1
646,YouBike2.0_復華公園,20,1,中山區,2023-06-08 23:29:04,南京東路三段109巷/龍江路120巷,19,1
648,YouBike2.0_捷運南京復興站(1號出口),21,0,中山區,2023-06-08 23:27:03,捷運南京復興站(1號出口)後方(遼寧街155巷),21,1
649,YouBike2.0_八德市場(北側),16,5,中山區,2023-06-08 23:49:13,建國南路一段/市民大道交叉口(北側),11,1
652,YouBike2.0_捷運南京復興站(8號出口),25,2,中山區,2023-06-08 23:42:14,南京東路三段221號前,23,1
653,YouBike2.0_民權建國路口(南側),15,0,中山區,2023-06-08 23:33:03,民權東路三段/建國北路二段(南側高架橋下),15,1
656,YouBike2.0_新生北路一段62巷口,20,3,中山區,2023-06-08 23:49:13,新生北路一段64號對側,17,1
657,YouBike2.0_新生長春路口(東北側),19,3,中山區,2023-06-08 23:31:16,新生北路二段39-2號對側,16,1
658,YouBike2.0_捷運劍南路站(1號出口),17,0,中山區,2023-06-08 22:10:10,北安路811巷/821巷4弄口,17,1
659,YouBike2.0_敬業三樂群三路口(西北側),16,1,中山區,2023-06-08 23:34:16,敬業三路/樂群三路口,15,1
661,YouBike2.0_長寧大廈社區(南側),15,3,中山區,2023-06-08 23:41:16,遼寧街201巷13號前,12,1
663,YouBike2.0_中山北路二段62巷口,12,1,中山區,2023-06-08 23:38:16,中山北路二段66號前,11,1
664,YouBike2.0_市民安東街口,20,1,中山區,2023-06-08 23:30:30,市民大道三段179號前,19,1
667,YouBike2.0_北勢湖環保公園,15,2,內湖區,2023-06-08 22:40:23,內湖路一段66-72號前方公園,13,1
668,YouBike2.0_洲子一號公園,43,1,內湖區,2023-06-08 22:06:04,基湖路37號西側,42,1
669,YouBike2.0_西康公園,16,0,內湖區,2023-06-08 20:30:52,內湖路一段225巷口,16,1
673,YouBike2.0_麗山國小,15,4,內湖區,2023-06-08 23:27:15,內湖路一段411巷56號東側,11,1
674,YouBike2.0_麗山高中,25,5,內湖區,2023-06-08 23:05:18,環山路二段141號北側,20,1
677,YouBike2.0_安湖三號公園,12,2,內湖區,2023-06-08 23:44:13,東湖路113巷49弄3號北側,10,1
679,YouBike2.0_瑞光計程車服務站,20,0,內湖區,2023-06-08 18:47:04,港墘路221巷2號,20,1
680,YouBike2.0_文德三號公園(江南街71巷16弄),15,5,內湖區,2023-06-08 23:49:13,瑞光路271號東南側,10,1
681,YouBike2.0_捷運大湖公園站(2號出口),28,1,內湖區,2023-06-08 22:45:17,成功路五段5號東側,27,1
684,YouBike2.0_捷運西湖站(1號出口),35,3,內湖區,2023-06-08 23:38:16,內湖路一段285巷15號(對面),31,1
685,YouBike2.0_捷運西湖站(2號出口),12,1,內湖區,2023-06-08 23:05:04,內湖路一段291號(對面),11,1
686,YouBike2.0_洲子二號公園,60,1,內湖區,2023-06-08 23:15:05,瑞光路500號(對面),59,1
695,YouBike2.0_文德二號公園(北側),15,3,內湖區,2023-06-08 23:41:16,文德路210巷12號對側,12,1
696,YouBike2.0_瑞陽公園,12,4,內湖區,2023-06-08 22:57:16,文德路22巷6號(對面),8,1
698,YouBike2.0_潭美街213號,12,1,內湖區,2023-06-08 22:48:16,潭美街213號南側,11,1
700,YouBike2.0_潭美國小(南京舊宗路口),16,4,內湖區,2023-06-08 20:57:20,行善路179號南側,12,1
701,YouBike2.0_新明路343號,10,3,內湖區,2023-06-08 23:02:17,新明路341號北側,7,1
703,YouBike2.0_內湖行政中心,25,4,內湖區,2023-06-08 22:56:16,民權東路六段99號(前),21,1
705,YouBike2.0_安康路32巷24弄,21,1,內湖區,2023-06-08 23:15:17,安康路32巷24弄22號,20,1
710,YouBike2.0_瑞光公共住宅(瑞光路),18,4,內湖區,2023-06-08 23:34:16,瑞光路160號,14,1
711,YouBike2.0_民權東路六段15巷,17,2,內湖區,2023-06-08 21:48:20,民權東路六段15巷29號,15,1
713,YouBike2.0_新湖三民善街口,15,3,內湖區,2023-06-08 23:36:17,新湖三路36號,11,1
717,YouBike2.0_福華商場,20,2,內湖區,2023-06-08 23:16:16,民權東路六段/民權東路六段180巷(西南側),18,1
718,YouBike2.0_臺北市網球中心,16,0,內湖區,2023-06-08 19:11:04,民權東路六段208號(前),16,1
719,YouBike2.0_捷運葫洲站(1號出口),25,0,內湖區,2023-06-08 23:26:03,康寧路三段39號(對面),25,1
720,YouBike2.0_麗湖國小,18,1,內湖區,2023-06-08 22:29:04,金湖路363巷11號(對面),17,1
721,YouBike2.0_金湖路347巷125弄口,15,2,內湖區,2023-06-08 21:45:18,金湖路347巷125弄1號(對面),13,1
722,YouBike2.0_碧湖公園,15,2,內湖區,2023-06-08 23:11:17,內湖路二段/內湖路二段103巷口(東北側),13,1
725,YouBike2.0_內湖區農會,12,2,內湖區,2023-06-08 23:16:16,內湖路二段334號(前),10,1
726,YouBike2.0_捷運內湖站(2號出口),10,0,內湖區,2023-06-08 21:30:41,成功路四段167巷6弄2號(旁),10,1
729,YouBike2.0_安康公園,19,4,內湖區,2023-06-08 23:28:15,五分街14巷31號(對面),15,1
731,YouBike2.0_內溝溪生態展示館,8,1,內湖區,2023-06-08 17:13:20,康樂街236-3號(前),7,1
733,YouBike2.0_東湖國中,16,1,內湖區,2023-06-08 23:42:14,康樂街125巷4號(對面),15,1
734,YouBike2.0_石潭公園(安康路),20,1,內湖區,2023-06-08 21:17:57,安康路28號西北側,19,1
735,YouBike2.0_內湖垃圾焚化廠,20,4,內湖區,2023-06-08 21:46:18,安康路290號西側,16,1
736,YouBike2.0_康寧公園(北側),20,3,內湖區,2023-06-08 22:47:16,康寧路三段60號南側,17,1
737,YouBike2.0_康寧路三段54巷口,15,0,內湖區,2023-06-08 19:23:04,康寧路三段54-5號西側,15,1
739,YouBike2.0_新明路460巷口,15,3,內湖區,2023-06-08 22:18:16,南京東路六段122號(斜前方),12,1
742,YouBike2.0_東湖國小,22,1,內湖區,2023-06-08 23:40:09,東湖路與東湖路113巷口東側,21,1
745,YouBike2.0_瑞湖陽光街口,25,5,內湖區,2023-06-08 23:42:04,瑞湖街101號對側,20,1
746,YouBike2.0_金龍公園,15,4,內湖區,2023-06-08 23:21:18,金龍路112巷口(金龍公園側),9,1
753,YouBike2.0_舊宗行善路口,9,0,內湖區,2023-06-08 22:42:04,行善路179號西側,9,1
754,YouBike2.0_新湖二路250巷口,20,0,內湖區,2023-06-08 20:11:04,新湖二路/新湖二路250巷(西南側),20,1
755,YouBike2.0_成功路四段41巷口,12,0,內湖區,2023-06-08 21:30:41,成功路四段41巷6號前側,12,1
758,YouBike2.0_民權東路六段190巷117弄口,15,2,內湖區,2023-06-08 23:04:18,民權東路六段190巷117弄15號對側,13,1
759,YouBike2.0_內湖運動中心,21,3,內湖區,2023-06-08 23:50:18,洲子街12號前,18,1
761,YouBike2.0_內湖路二段179巷口,16,2,內湖區,2023-06-08 22:55:25,內湖路二段179巷242號對側,14,1
762,YouBike2.0_行善行愛路口,12,0,內湖區,2023-06-08 23:49:03,行善路243號(前),12,1
763,YouBike2.0_民善新湖二路口(家樂福內湖店),23,1,內湖區,2023-06-08 22:24:17,民善街88號(旁),22,1
769,YouBike2.0_瑞光路76巷口,12,0,內湖區,2023-06-08 22:28:04,瑞光路102號前,12,1
770,YouBike2.0_捷運東湖站,28,4,內湖區,2023-06-08 23:49:13,安康路315巷/五分街14巷(西側),24,1
771,YouBike2.0_新湖國小,12,2,內湖區,2023-06-08 22:02:18,民權東路六段/成功路二段320巷31弄(東南側),10,1
773,YouBike2.0_民權東路六段413巷,16,0,內湖區,2023-06-08 23:00:42,民權東路六段409號前,16,1
774,YouBike2.0_宏匯瑞光廣場(瑞光路),16,0,內湖區,2023-06-08 23:41:04,瑞光路353號前(瑞光路側人行道),16,1
775,YouBike2.0_宏匯瑞光廣場(港墘路),20,0,內湖區,2023-06-08 23:25:04,瑞光路355號前(港墘路側人行道),20,1
776,YouBike2.0_康樂街151巷,14,3,內湖區,2023-06-08 23:49:13,康樂街151巷/康樂街,11,1
777,YouBike2.0_內湖路一段360巷,15,0,內湖區,2023-06-08 21:29:17,內湖路一段358號,15,1
778,YouBike2.0_成功路三段83號前,11,1,內湖區,2023-06-08 22:50:24,成功路三段83號前,10,1
780,YouBike2.0_陽光舊宗路口,20,0,內湖區,2023-06-08 19:15:05,陽光街/舊宗路二段,20,1
781,YouBike2.0_安湖公園,8,3,內湖區,2023-06-08 22:09:17,東湖路113巷95弄/康寧路三段75巷,5,1
785,YouBike2.0_捷運港墘站(1號出口),23,1,內湖區,2023-06-08 23:30:30,內湖路一段663號前,22,1
787,YouBike2.0_行善路383巷,17,4,內湖區,2023-06-08 23:27:15,行善路383巷27號對側,13,1
788,YouBike2.0_舊宗新湖三路口,18,0,內湖區,2023-06-08 23:26:03,舊宗路一段/新湖三路(南側),18,1
789,YouBike2.0_內湖運動公園,17,0,內湖區,2023-06-08 20:23:04,舊宗路二段/民權東路六段11巷,17,1
